,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
05723258_20200601_Feet_L_S_2,0.9441247518728844,0.9367694489733058,0.9266737218336809,0.9280428224642636,0.9239909273333431,0.9219767707454961,0.885958044913525,0.8950949323958179,0.8319537566264541,0.8502694089924143,0.9034369881798862,0.9232723652390864,0.9495400314194075,0.9373071330938393,0.8689721786053519,0.8035425094173002,0.7559184873295801,0.6923107455667854
05723258_20200601_Feet_L_S_3,0.9193365977006399,0.9285044014272044,0.9371271120043282,0.9354674422437439,0.9333534453750821,0.9349796072668062,0.9268437426881044,0.895087176227011,0.929540358420679,0.8542367798678283,0.9090092459378505,0.9317878305484766,0.9167021132862762,0.8778424500809336,0.8431058405576173,0.7730936123117005,0.7267485646060814,0.6588409412497697
05723258_20200601_Feet_R_S_0,0.865271013071771,0.8642061734477914,0.8929308036226422,0.9119334526182792,0.907372798893293,0.912899881319935,0.94519309182041,0.9663206371724189,0.9755387136711745,0.7683864985661167,0.7805645770224303,0.8383237547418126,0.8331219030955339,0.8458146863498754,0.8481529933808021,0.7464523578691997,0.6884307911129065,0.5884711431601282
05723258_20200601_Feet_R_S_1,0.9472308755364747,0.9440273681151701,0.9610683446326612,0.9642576759621256,0.9288061213131142,0.9328438370373614,0.9055602917809785,0.7904023700596897,0.7533516808798973,0.8245701974228455,0.844920950965501,0.9032811504410008,0.8907195231273385,0.8684010032616164,0.8392730473383809,0.7814931844370588,0.7114532835691008,0.6152049935607342
05723258_20200601_Feet_R_S_2,0.8871457954159456,0.8970229913216147,0.9024368602700623,0.905823464922199,0.9421498298633357,0.9356263393886947,0.9476887167429238,0.9442414699266017,0.9617016803229728,0.7134047478598513,0.7463367961814891,0.828328234547742,0.8736622469837416,0.8925868816925518,0.8988164348430853,0.8851815189442894,0.8726124697012483,0.8103651441791097
05723258_20200601_Feet_R_S_3,0.8172964789131132,0.8418539913140836,0.835447717629874,0.8390306249543583,0.795840065004467,0.8255710290470234,0.7200060370853287,0.7343991494460111,0.7040688969656743,0.7284207619940949,0.7889417424504781,0.8057788476469843,0.8360706322024957,0.9276759734795652,0.8134635001319691,0.7180951993003983,0.6475236023040312,0.5633425391639005
11156926_20200427_Feet_L_S_0,0.7886950885152554,0.8144632355924533,0.8031570093445634,0.8378809839430624,0.8485528320627894,0.8574458712652009,0.8825060556664001,0.8815131176583615,0.8707042441838213,0.6323040517590058,0.623823734808121,0.6271952692644267,0.6495100704236397,0.666158592812407,0.7319105276353091,0.8421325240831323,0.8515628155085522,0.8172611843438508
11156926_20200427_Feet_L_S_1,0.859264572066307,0.8671723774424729,0.8713441042449371,0.8849407326132867,0.889075814657122,0.8983779530269738,0.9147805577125206,0.9220579242590965,0.9440084108477074,0.7805896054839154,0.8185940157949867,0.9190558775395737,0.9096794827093191,0.8762758499759367,0.8124737926126561,0.7533807208012919,0.6892730225671415,0.5945826717830661
11156926_20200427_Feet_L_S_2,0.8972567839641133,0.9001466504882218,0.9010152586143005,0.9191285487616913,0.9219719369164139,0.9389799010281684,0.9481294902178005,0.9475264303930275,0.9486513431197164,0.7350479731290503,0.820012403585964,0.8636730044441169,0.9113616066623762,0.8761322493040065,0.8022671693741261,0.7496848014821214,0.680867424131318,0.5980332417234074
11156926_20200427_Feet_L_S_3,0.881353758035919,0.8770611425199164,0.885305141127828,0.8887246325989748,0.8901311568897762,0.8880841260091511,0.8884352085711115,0.8910713571245344,0.8884928878826079,0.6995698842913275,0.7396313493964743,0.762663583506872,0.8483708538297571,0.9074144457892761,0.8758103187169365,0.8552920905546115,0.7743551881554386,0.6814151655316372
11156926_20200427_Feet_R_S_0,0.8972726250034514,0.9059538968160055,0.9280481762977415,0.9390757858258852,0.959660420880871,0.8958451750197713,0.8358195513309394,0.7411494820920997,0.697016497958584,0.9116913650301417,0.936245244078964,0.8757069439650573,0.8142788331022845,0.7682745431210058,0.6696555336401104,0.5972440995442184,0.5232499691654668,0.4737055990958118
11156926_20200427_Feet_R_S_1,0.8844773291165342,0.9116196610796135,0.9004867659616985,0.9114402593756165,0.9070901059153635,0.8646084632579101,0.7523659306038927,0.7764562567974762,0.7187626854475733,0.8513612128863525,0.8999776098633154,0.8734103156196696,0.8070243997108484,0.749636404081835,0.6853123534147757,0.608212000758272,0.550539971560733,0.4922045881776648
11156926_20200427_Feet_R_S_2,0.9131849318723438,0.9106568890912528,0.9106463905078623,0.874008183786289,0.8690459343228258,0.846607133184889,0.8470108267913298,0.8316850607207797,0.7961748127344893,0.8631278117803932,0.8883859609411748,0.8719178841803334,0.8202512338063744,0.7449548963739463,0.6802174689698356,0.623204321793002,0.5482763932904354,0.49543632319350367
