,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
12405045_2020023_Feet_R_S_3,0.8053808026258071,0.7248929684938963,0.8053808026258071,0.8053808026258071,0.649276514877572,0.8053808026258071,0.8049447456912991,0.7878961832266269,0.8625714777459295,0.7347033532487635,0.7747901743863851,0.8625714777459295,0.8625714777459295,0.8625714777459295,0.8625714777459295,0.8053808026258071,0.6523584501269037,0.6523584501269037
14923392_20200622_Feet_L_S_0,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8152545031520214,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.8570509482132589,0.7083065687712882,0.7083065687712882,0.5737283207047434
14923392_20200622_Feet_L_S_1,0.8482549048638823,0.8482549048638823,0.8482549048638823,0.8496889262897334,0.9848037281231902,0.9848037281231902,0.9848037281231902,0.8990940386372686,0.9848037281231902,0.8990940386372686,0.9848037281231902,0.9848037281231902,0.9848037281231902,0.8496889262897334,0.8496889262897334,0.8496889262897334,0.8496889262897334,0.7022222531320111
14923392_20200622_Feet_L_S_2,0.8760779894927162,0.8760779894927162,0.8416463814508726,0.8416463814508726,0.9020682512887861,0.9020682512887861,0.8760779894927162,0.8416463814508726,0.9020682512887861,0.7937052771096095,0.7937052771096095,0.9315013321633611,0.9315013321633611,0.8767770197830812,0.9020682512887861,0.9020682512887861,0.7455109514783355,0.7455109514783355
14923392_20200622_Feet_L_S_3,0.8572797486034932,0.8572797486034932,0.8572797486034932,0.8572797486034932,0.8572797486034932,0.8572797486034932,0.8572797486034932,0.8572797486034932,0.8572797486034932,0.8230096068938223,0.8902872038206973,0.9543657263170499,0.8572797486034932,0.8699489354239286,0.8699489354239286,0.8699489354239286,0.8699489354239286,0.7189660623338252
14923392_20200622_Feet_R_S_0,0.8729381252086471,0.8729381252086471,0.8729381252086471,0.8729381252086471,0.8729381252086471,0.8729381252086471,0.8729381252086471,0.8729381252086471,0.8729381252086471,0.785078892113298,0.785078892113298,0.8999738299757177,0.8741789827870241,0.8741789827870241,0.8741789827870241,0.8741789827870241,0.7319047594554404,0.7319047594554404
14923392_20200622_Feet_R_S_1,0.8404615722788168,0.8404615722788168,0.8593594405855184,0.8593594405855184,0.8404615722788168,0.7861182622281624,0.8593594405855184,0.8593594405855184,0.9313527712261066,0.8096959552160125,0.8157839685668027,0.8157839685668027,0.8157839685668027,0.8404615722788168,0.8404615722788168,0.71021441370704,0.71021441370704,0.5752736751027024
14923392_20200622_Feet_R_S_2,0.8659367952069298,0.850027284318302,0.8659367952069298,0.954637956815118,0.954637956815118,0.954637956815118,0.9331917616605115,0.9331917616605115,0.8268228528039999,0.7416388389625794,0.7883633011943544,0.8113103579033815,0.8113103579033815,0.8400704143964399,0.7156502439726692,0.7156502439726692,0.579676697617862,0.579676697617862
14923392_20200622_Feet_R_S_3,0.8611733465634968,0.8611733465634968,0.8611733465634968,0.8611733465634968,0.8611733465634968,0.8611733465634968,0.8611733465634968,0.8611733465634968,0.850067845434994,0.7146666197887551,0.7848871464311183,0.8851017547345175,0.850067845434994,0.850067845434994,0.850067845434994,0.7139050117990146,0.7139050117990146,0.5782630595572018
23839779_20200420_Feet_L_S_0,0.8432536377459332,0.9560358916742085,0.8538286291856748,0.9369645681760591,0.8538286291856748,0.9560358916742085,0.8538286291856748,0.8538286291856748,0.9369645681760591,0.8385480492072483,0.883709360474151,0.9560358916742085,0.9560358916742085,0.9560358916742085,0.8538286291856748,0.8538286291856748,0.8538286291856748,0.7056434951947727
23839779_20200420_Feet_L_S_1,0.8542191156992684,0.8542191156992684,0.8542191156992684,0.8542191156992684,0.8542191156992684,0.8542191156992684,0.8542191156992684,0.8795919627683764,0.8795919627683764,0.8149022873603788,0.8795919627683764,0.8795919627683764,0.8542191156992684,0.8542191156992684,0.8542191156992684,0.8542191156992684,0.7261189292375653,0.7261189292375653
23839779_20200420_Feet_L_S_2,0.9734525178414094,0.9237117182087557,0.9734525178414094,0.9734525178414094,0.9734525178414094,0.9734525178414094,0.9734525178414094,0.9734525178414094,0.9734525178414094,0.8441004398915096,0.9734525178414094,0.9734525178414094,0.9734525178414094,0.9734525178414094,0.8370701272538442,0.8370701272538442,0.8370701272538442,0.6917934935982185
23839779_20200420_Feet_L_S_3,0.9189582815132732,0.9189582815132732,0.9189582815132732,0.9189582815132732,0.923777926013642,0.923777926013642,0.923777926013642,0.9203237682418616,0.923777926013642,0.7826084174186974,0.8925089600738038,0.9189582815132732,0.9189582815132732,0.9189582815132732,0.9189582815132732,0.9189582815132732,0.773327610814342,0.773327610814342
