,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
27342472_20200310_Feet_L_S_3,0.9195990439241704,0.9250530580564528,0.9370614893893263,0.934452067644065,0.9348452803309008,0.9449384084802992,0.9450905382780018,0.9631580729499981,0.9683903486629418,0.8872690815669751,0.9536572235533891,0.9476199858205545,0.9575878840511467,0.9539420930166941,0.9370997954570888,0.9133277730128816,0.8927820440171519,0.8465816738028342
27342472_20200310_Feet_R_S_0,0.9317211248529337,0.937962999216361,0.9350055098065053,0.9345802315970729,0.9400588008212816,0.9289941001421981,0.9304810922570275,0.9252986836199822,0.884609431251289,0.6728933094916126,0.7423768380147852,0.7859843483927574,0.8425021165294034,0.889507250470609,0.8367262256603782,0.715008941685741,0.7031851345026856,0.6778154513767571
27342472_20200310_Feet_R_S_1,0.9058534206342526,0.9376900515174523,0.9407542633077289,0.9339115625165416,0.9300657727424857,0.9271671915908447,0.920942110847559,0.8206764592887248,0.8122065262863043,0.4964734105786889,0.7016760225273279,0.534438787170111,0.7111150081897419,0.697297313122323,0.7874173619000865,0.8722347200447174,0.7256177584767585,0.8661962184575009
27342472_20200310_Feet_R_S_2,0.9471586777408559,0.9376144760852655,0.9359517396986857,0.9339692706618546,0.94705614982538,0.9660805477172072,0.9720442297087729,0.9677570429294285,0.9532714476457639,0.9002410654757823,0.9770843396464532,0.961254831658219,0.9291895061297855,0.906766916049285,0.8160458754101428,0.7712106135429792,0.6996129106311575,0.6497205073033993
27342472_20200310_Feet_R_S_3,0.9531433707368966,0.9565017188539258,0.9569419879931015,0.959248064164244,0.9726945454870342,0.976025367677052,0.9795614415799242,0.979255348221117,0.8793272083932004,0.7847780209762923,0.8203622339250135,0.9824065687020481,0.9034972621031397,0.8971253097411802,0.8634564529831771,0.8256866140120454,0.7833226476057309,0.7408857513550284
28515479_20200629_Feet_L_S_0,0.920781502473914,0.9263215873874584,0.9105099688228446,0.9342237063103196,0.9126870901475873,0.9220694844262337,0.9552135978253015,0.923905242600999,0.968026331741118,0.8065100607594169,0.8529156308880221,0.9537161523627256,0.9753738223517463,0.9530397733730165,0.8970802309628667,0.8559298858872448,0.7856026305840568,0.7345651451735851
28515479_20200629_Feet_L_S_1,0.9127730358614745,0.9158332606803228,0.9189632723738054,0.9255854151574149,0.9290805330974227,0.9269387792081604,0.9248514350722178,0.9208427114494494,0.9231439296809772,0.8432204887189724,0.9220404861405199,0.9127269537725297,0.9194902274096268,0.9209125046100496,0.8603261121811878,0.8215102246101861,0.7595862666444682,0.6760872632414617
28515479_20200629_Feet_L_S_2,0.9208837697125154,0.9317714869756037,0.9329045553207881,0.9346233422099014,0.9344248636290932,0.9364575969446404,0.9459606316602076,0.940843163301607,0.940692226423116,0.8149201164464487,0.8435986643361116,0.9229977654033991,0.961300596237105,0.9646095998767626,0.9385280149386018,0.869393174692824,0.8335149834423601,0.7307241087492884
28515479_20200629_Feet_L_S_3,0.834521125792144,0.8409592254518077,0.8467580700997333,0.8549099255430973,0.8619283122210872,0.8940980730467472,0.9229162623387346,0.9273982211776866,0.9256533759811778,0.8104032162659551,0.8517056890757506,0.9599970026934423,0.9303029344902735,0.8743638496053711,0.8325451490762183,0.7859842378001156,0.7457387652755777,0.6544856938161936
28515479_20200629_Feet_R_S_0,0.8428124799344416,0.8427847160859004,0.844122693483059,0.8584352398537464,0.8603764239508184,0.8634532265433489,0.8659193001937024,0.8608321480547568,0.8613092255300151,0.7845734493459362,0.8151891312399087,0.886820701918889,0.8730562762213157,0.8599386660854378,0.8389844095127045,0.721636943449581,0.6433709350897049,0.5866235404752721
28515479_20200629_Feet_R_S_1,0.8826048686153185,0.8888310827691421,0.8928811912016952,0.8932816795266416,0.892118390186547,0.890642029039527,0.8890378042545792,0.8923761502178744,0.8922006587577377,0.7816732365370551,0.884391950446817,0.9084682084396797,0.9018331981515333,0.8512623298014372,0.7954609108731274,0.7181740763336826,0.6539534114020328,0.5996443077392161
28515479_20200629_Feet_R_S_2,0.8928039263841359,0.891652071066506,0.8945636846939097,0.8975003180729391,0.9077840561772219,0.8919400947080663,0.9040369310887599,0.9065986298158354,0.909522068907976,0.713485581245962,0.7291568557060355,0.7465173187686736,0.8180770215711166,0.8159618533640737,0.8500907982240493,0.7566271279760808,0.6641154093278979,0.5930893421119106
28515479_20200629_Feet_R_S_3,0.9139920040040209,0.9120208931670334,0.912814652167378,0.9111042500416621,0.9121318858193077,0.918463222596351,0.9210489390994865,0.9205529032215676,0.9053613942362075,0.8097935993002503,0.8340080171723645,0.874482809431844,0.8754997648003433,0.8898409588499935,0.8576621976041043,0.8037379620994518,0.7226140608952578,0.6577865468372806
29478252_20200608_Feet_L_S_0,0.8957251273514785,0.8933422436832373,0.8977174577209829,0.9013004285058198,0.8995499364423528,0.8990863814332561,0.897929545794036,0.9080638437758333,0.8936316665855576,0.845723198815072,0.8153425609330204,0.8894702517405331,0.879649140729983,0.8314982315358913,0.8320156899248998,0.7955616064656796,0.7046427790371209,0.6633556521266212
29478252_20200608_Feet_L_S_1,0.9146745412546089,0.9130076399213113,0.8915933391522602,0.8798483745806688,0.8805259431341244,0.9163296556512709,0.8850437147193,0.8755727032277344,0.8601874825083661,0.8647458912613551,0.909808175746939,0.9105962276791488,0.8953321269957595,0.8608848237138664,0.815621699242375,0.7756479525087286,0.6761531915597678,0.6346911757197014
