method,best_config,Jaccard
HOUGH,GL70,0.4293227549668963
HOUGH,GL70,0.8567342400766353
HOUGH,GL70,0.8552179918290395
HOUGH,GL70,0.624461451284468
HOUGH,GL70,0.8605369849806422
HOUGH,GL70,0.7344188400747246
HOUGH,GL70,0.8936913057952357
HOUGH,GL70,0.8287371883113444
HOUGH,GL70,0.7333264588384252
HOUGH,GL70,0.7964002489432501
HOUGH,GL70,0.7928270177201228
HOUGH,GL70,0.7704198213282614
HOUGH,GL70,0.8965717561777025
HOUGH,GL70,0.8951525037194715
HOUGH,GL70,0.6494504054621907
HOUGH,GL70,0.7238289737762407
HOUGH,GL70,0.8530687209108205
HOUGH,GL70,0.7667155166379751
HOUGH,GL70,0.7105831305439474
HOUGH,GL70,0.7213980314765339
HOUGH,GL70,0.7460693465341003
HOUGH,GL70,0.9409394010199814
HOUGH,GL70,0.792030350470265
HOUGH,GL70,0.7322788564870684
HOUGH,GL70,0.6752135077770415
HOUGH,GL70,0.7484380621569784
HOUGH,GL70,0.6891244341231264
HOUGH,GL70,0.9078103248444929
HOUGH,GL70,0.9414030010539305
HOUGH,GL70,0.8496889262897334
HOUGH,GL70,0.9020682512887861
HOUGH,GL70,0.8663730003819436
HOUGH,GL70,0.8856047589410831
HOUGH,GL70,0.8593594405855184
HOUGH,GL70,0.8659367952069298
HOUGH,GL70,0.8365967743988496
HOUGH,GL70,0.9560358916742085
HOUGH,GL70,0.8632791060323316
HOUGH,GL70,0.8284226687318772
HOUGH,GL70,0.8438206375695817
HOUGH,GL70,0.7053201082724329
HOUGH,GL70,0.6376858144385464
HOUGH,GL70,0.7145037836215085
HOUGH,GL70,0.7752046861222509
HOUGH,GL70,0.8118479266654653
HOUGH,GL70,0.9496222073700572
HOUGH,GL70,0.9073814685315337
HOUGH,GL70,0.8702917103033505
HOUGH,GL70,0.8305826083450712
HOUGH,GL70,0.9103144898995297
HOUGH,GL70,0.8474911159288973
HOUGH,GL70,0.8367201337658653
HOUGH,GL70,0.7238029943132492
HOUGH,GL70,0.8075323614427337
HOUGH,GL70,0.8053469297338772
HOUGH,GL70,0.9365233847092551
HOUGH,GL70,0.9596705150322703
HOUGH,GL70,0.8957235040570628
HOUGH,GL70,0.6887284298053243
HOUGH,GL70,0.9694174872838514
HOUGH,GL70,0.8685507563747571
HOUGH,GL70,0.8671914233318201
HOUGH,GL70,0.932402171939613
HOUGH,GL70,0.7902409484945574
HOUGH,GL70,0.8024671392568955
HOUGH,GL70,0.8785233879723228
HOUGH,GL70,0.8128751740646135
HOUGH,GL70,0.9393782810391357
HOUGH,GL70,0.7884535776505449
HOUGH,GL70,0.9464851168584653
HOUGH,GL70,0.8753149834860836
HOUGH,GL70,0.940072865096115
HOUGH,GL70,0.8032237423021107
HOUGH,GL70,0.885149286156374
HOUGH,GL70,0.5739234269632063
HOUGH,GL70,0.817440719043558
HOUGH,GL70,0.8427592465560667
HOUGH,GL70,0.7035682249873674
HOUGH,GL70,0.7749973644122874
HOUGH,GL70,0.932827574895881
HOUGH,GL70,0.7382869809741573
HOUGH,GL70,0.8774547894342513
HOUGH,GL70,0.8944975103471278
HOUGH,GL70,0.8013318627257905
HOUGH,GL70,0.7973541407906912
HOUGH,GL70,0.7856768477443927
HOUGH,GL70,0.8931910335246399
HOUGH,GL70,0.8113908580461501
HOUGH,GL70,0.8825987128651359
HOUGH,GL70,0.755626073390529
HOUGH,GL70,0.9298550413941751
HOUGH,GL70,0.48673940858760556
HOUGH,GL70,0.7852387311553601
HOUGH,GL70,0.8194133518070322
HOUGH,GL70,0.9177751608760912
HOUGH,GL70,0.9403340999567709
HOUGH,GL70,0.8723136992385011
HOUGH,GL70,0.8330685219200459
HOUGH,GL70,0.5973316287848903
HOUGH,GL70,0.7205599093136016
HOUGH,GL70,0.8605868557122356
HOUGH,GL70,0.9211663055803719
HOUGH,GL70,0.7545752521649944
HOUGH,GL70,0.8653265308980619
HOUGH,GL70,0.5574238791015359
HOUGH,GL70,0.7592762370876736
HOUGH,GL70,0.8407404156035643
HOUGH,GL70,0.8073517744146251
HOUGH,GL70,0.8586976899183859
HOUGH,GL70,0.7315100936216693
HOUGH,GL70,0.8543667608166511
HOUGH,GL70,0.8888511607030332
HOUGH,GL70,0.8602684297149691
HOUGH,GL70,0.7895659593016745
HOUGH,GL70,0.8119006824667795
HOUGH,GL70,0.799877576510636
HOUGH,GL70,0.5939240513863637
HOUGH,GL70,0.5872381272521245
HOUGH,GL70,0.8438535402960048
HOUGH,GL70,0.9180797833715543
HOUGH,GL70,0.8084383138414226
HOUGH,GL70,0.7220435480101783
HOUGH,GL70,0.5771926020354124
HOUGH,GL70,0.9477951247910577
HOUGH,GL70,0.7329943613615
HOUGH,GL70,0.8513369153868198
HOUGH,GL70,0.9601444334102968
HOUGH,GL70,0.7628345844951848
HOUGH,GL70,0.9123177561786937
HOUGH,GL70,0.7756923728849396
HOUGH,GL70,0.7678268247589981
HOUGH,GL70,0.8564697173596173
HOUGH,GL70,0.9195787223597458
HOUGH,GL70,0.8797418314128673
HOUGH,GL70,0.8743262367586467
HOUGH,GL70,0.8141804299006227
HOUGH,GL70,0.8634433214850465
HOUGH,GL70,0.6001765477017328
HOUGH,GL70,0.8985651825578698
HOUGH,GL70,0.8321001511086313
RHT,Med11,0.7905295135593601
RHT,Med11,0.7249368609693685
RHT,Med11,0.7832828792858543
RHT,Med11,0.8274799742144672
RHT,Med11,0.8375309216086233
RHT,Med11,0.8241936909765581
RHT,Med11,0.8059728493521873
RHT,Med11,0.8977855658094107
RHT,Med11,0.802293875556377
RHT,Med11,0.8543991235215376
RHT,Med11,0.8442375549346961
RHT,Med11,0.8901719301577083
RHT,Med11,0.8844162439205282
RHT,Med11,0.8744932606454586
RHT,Med11,0.8618924865902755
RHT,Med11,0.8796405893370441
RHT,Med11,0.7652730256903464
RHT,Med11,0.8322876983639579
RHT,Med11,0.8603117025504338
RHT,Med11,0.8337917628599573
RHT,Med11,0.7034252326884829
RHT,Med11,0.6605627411063566
RHT,Med11,0.7421681595419065
RHT,Med11,0.8532240667689373
RHT,Med11,0.7297350464657749
RHT,Med11,0.7799854857363081
RHT,Med11,0.6760144981857183
RHT,Med11,0.6496799465807753
RHT,Med11,0.9109225929363434
RHT,Med11,0.7844073573318552
RHT,Med11,0.8239738887273884
RHT,Med11,0.8098574307285323
RHT,Med11,0.84562849138073
RHT,Med11,0.8763388124484986
RHT,Med11,0.8486946651788921
RHT,Med11,0.8369976277528192
RHT,Med11,0.8849892690061821
RHT,Med11,0.8098765802816383
RHT,Med11,0.8595380532356794
RHT,Med11,0.8581258861241275
RHT,Med11,0.8316879633889576
RHT,Med11,0.8773472237508853
RHT,Med11,0.9545063621707177
RHT,Med11,0.7921797827189105
RHT,Med11,0.8390525903781866
RHT,Med11,0.9170256056412907
RHT,Med11,0.7438586373514811
RHT,Med11,0.8846122580883891
RHT,Med11,0.7963396616625572
RHT,Med11,0.834716803213072
RHT,Med11,0.8382358996275332
RHT,Med11,0.9035445843687095
RHT,Med11,0.9029671396862058
RHT,Med11,0.8818939038137354
RHT,Med11,0.8247117610401635
RHT,Med11,0.8745931393018055
RHT,Med11,0.8372338204184417
RHT,Med11,0.7909097139887905
RHT,Med11,0.8472618146435773
RHT,Med11,0.7614493630218536
RHT,Med11,0.7259522661894012
RHT,Med11,0.477035943225004
RHT,Med11,0.8245977747789555
RHT,Med11,0.7683775511083571
RHT,Med11,0.8479262988060972
RHT,Med11,0.9592373548766985
RHT,Med11,0.8471193474105557
RHT,Med11,0.8485171080844793
RHT,Med11,0.8030152710895387
RHT,Med11,0.8324434613119976
RHT,Med11,0.8557785168603392
RHT,Med11,0.9043219544047977
RHT,Med11,0.7952692921841424
RHT,Med11,0.7785875815207021
RHT,Med11,0.8278943522761752
RHT,Med11,0.8512011876810598
RHT,Med11,0.7334241262883532
RHT,Med11,0.7278933209042668
RHT,Med11,0.6557716083422334
RHT,Med11,0.8786856866834024
RHT,Med11,0.667088662312602
RHT,Med11,0.8463610956442736
RHT,Med11,0.8399321911463083
RHT,Med11,0.9548726086701472
RHT,Med11,0.8024392672779346
RHT,Med11,0.8400081480502499
RHT,Med11,0.7695519270175292
RHT,Med11,0.8324116375455214
RHT,Med11,0.8094964182013793
RHT,Med11,0.8437588221512022
RHT,Med11,0.7482120771390066
RHT,Med11,0.7690514231634149
RHT,Med11,0.8359528819401396
RHT,Med11,0.7745435764591949
RHT,Med11,0.8257177888859043
RHT,Med11,0.8713952261204606
RHT,Med11,0.789957400303562
RHT,Med11,0.8840184359170598
RHT,Med11,0.7607286563382504
RHT,Med11,0.8395072970845755
RHT,Med11,0.8830893347497478
RHT,Med11,0.6826299177584619
RHT,Med11,0.8013813261004521
RHT,Med11,0.8094654223054774
RHT,Med11,0.7204584684845595
RHT,Med11,0.7675692839367151
RHT,Med11,0.9125666302722168
RHT,Med11,0.8299122219788639
RHT,Med11,0.7944313194124295
RHT,Med11,0.8595535001737716
RHT,Med11,0.8624314941243005
RHT,Med11,0.7931313242090604
RHT,Med11,0.7790777115241896
RHT,Med11,0.8439989130708676
RHT,Med11,0.6656037266699291
RHT,Med11,0.7572040239288531
RHT,Med11,0.6578034140442145
RHT,Med11,0.7904529067151554
RHT,Med11,0.7198963815323429
RHT,Med11,0.7486800502656217
RHT,Med11,0.794265856473194
RHT,Med11,0.7728314346572616
RHT,Med11,0.802343518759134
RHT,Med11,0.9279835541538193
RHT,Med11,0.9262106600206256
RHT,Med11,0.8786318837058803
RHT,Med11,0.807376661336245
RHT,Med11,0.9393096848757908
RHT,Med11,0.7914597437565003
RHT,Med11,0.7226619866347433
RHT,Med11,0.8425051708450304
RHT,Med11,0.8783316188069064
RHT,Med11,0.8610943920291662
RHT,Med11,0.8106918639240215
RHT,Med11,0.7769921221570022
RHT,Med11,0.8855054693134385
RHT,Med11,0.8709286486159489
RHT,Med11,0.8961905593610883
RHT,Med11,0.9304729082933224
RHT,Med11,0.8345386765933952
RHT,Med11,0.8764220828570746
RHT,Med11,0.8738960874195757
RHT,Med11,0.8235258818358911
RHT,Med11,0.7856929442445776
RCD,GL84,0.8160800884823325
RCD,GL84,0.8802909218032302
RCD,GL84,0.7996517508723217
RCD,GL84,0.9184330243919839
RCD,GL84,0.7713890296420084
RCD,GL84,0.8686313563741096
RCD,GL84,0.7970533715783366
RCD,GL84,0.8666376487987606
RCD,GL84,0.8490907565747428
RCD,GL84,0.804429470406377
RCD,GL84,0.8876223674176826
RCD,GL84,0.8640216455592875
RCD,GL84,0.9332199356455015
RCD,GL84,0.8046412552952761
RCD,GL84,0.9127857106254292
RCD,GL84,0.844330225216937
RCD,GL84,0.8231028965498038
RCD,GL84,0.8583984373563206
RCD,GL84,0.8674162223873538
RCD,GL84,0.8737908688681544
RCD,GL84,0.8876002381528941
RCD,GL84,0.7546376658218297
RCD,GL84,0.8531697992139665
RCD,GL84,0.8947584511020426
RCD,GL84,0.8038282039813334
RCD,GL84,0.8708376517745777
RCD,GL84,0.8357725736591908
RCD,GL84,0.8812341309360885
RCD,GL84,0.7973297021587221
RCD,GL84,0.8301248860403879
RCD,GL84,0.8989971868384999
RCD,GL84,0.8289460265649774
RCD,GL84,0.9331042975504258
RCD,GL84,0.9451552883124098
RCD,GL84,0.9532152709249383
RCD,GL84,0.89981938979112
RCD,GL84,0.9302623000921253
RCD,GL84,0.7999050123866693
RCD,GL84,0.8219591889639765
RCD,GL84,0.9270714705575382
RCD,GL84,0.824326454920988
RCD,GL84,0.9289415333792069
RCD,GL84,0.9250164758886091
RCD,GL84,0.9332751230798042
RCD,GL84,0.7738380195999592
RCD,GL84,0.8051981598399945
RCD,GL84,0.7694732849285015
RCD,GL84,0.840831706960462
RCD,GL84,0.9035642819189823
RCD,GL84,0.9741922023637232
RCD,GL84,0.9376834488908653
RCD,GL84,0.9309850581388724
RCD,GL84,0.944279755281988
RCD,GL84,0.8923223804275281
RCD,GL84,0.9328653580127245
RCD,GL84,0.9194385039990435
RCD,GL84,0.9286613444989597
RCD,GL84,0.8304353376914233
RCD,GL84,0.8858035036440493
RCD,GL84,0.882166785244729
RCD,GL84,0.9407335520468086
RCD,GL84,0.8161404601351373
RCD,GL84,0.8806958316110676
RCD,GL84,0.8606148629085174
RCD,GL84,0.9189426151611125
RCD,GL84,0.8331878070555938
RCD,GL84,0.9199978024487542
RCD,GL84,0.8346460326692108
RCD,GL84,0.8350396191898425
RCD,GL84,0.851850611408569
RCD,GL84,0.8899777332694009
RCD,GL84,0.8945920396534431
RCD,GL84,0.836298360786829
RCD,GL84,0.8879186308867374
RCD,GL84,0.8728715171380548
RCD,GL84,0.8600976318994675
RCD,GL84,0.8165485642161041
RCD,GL84,0.5404290420371625
RCD,GL84,0.5861699966283119
RCD,GL84,0.779917927304159
RCD,GL84,0.9104169392998175
RCD,GL84,0.8874595166152983
RCD,GL84,0.9077454173784507
RCD,GL84,0.9140533599638717
RCD,GL84,0.8883311404664156
RCD,GL84,0.9507868137345823
RCD,GL84,0.8919044328548602
RCD,GL84,0.925156434216182
RCD,GL84,0.8726215566424806
RCD,GL84,0.8679846887492985
RCD,GL84,0.8684764642968101
RCD,GL84,0.8480229353132311
RCD,GL84,0.9339388580570696
RCD,GL84,0.8624757158093774
RCD,GL84,0.8986721155792337
RCD,GL84,0.9045634944871835
RCD,GL84,0.8951371527879957
RCD,GL84,0.8980773097563054
RCD,GL84,0.8725984837504872
RCD,GL84,0.8493497296671504
RCD,GL84,0.8738467061404684
RCD,GL84,0.8891999216764495
RCD,GL84,0.8569337992193625
RCD,GL84,0.8614115278967382
RCD,GL84,0.8380259524864054
RCD,GL84,0.879952056144752
RCD,GL84,0.8013504133188211
RCD,GL84,0.895391129673104
RCD,GL84,0.8563157504521547
RCD,GL84,0.9341489025168769
RCD,GL84,0.8791791463835951
RCD,GL84,0.9140847143204023
RCD,GL84,0.9079798428254907
RCD,GL84,0.7703681487484793
RCD,GL84,0.8649380715138792
RCD,GL84,0.8558339575941344
RCD,GL84,0.8819072884460659
RCD,GL84,0.8065202838614518
RCD,GL84,0.8059853308947964
RCD,GL84,0.8614065665163159
RCD,GL84,0.8607856804689596
RCD,GL84,0.8576713484409572
RCD,GL84,0.9160064052529185
RCD,GL84,0.9014183600186234
RCD,GL84,0.8785331225826352
RCD,GL84,0.8199564648266225
RCD,GL84,0.894966698417141
RCD,GL84,0.8722600477507366
RCD,GL84,0.9514932525449088
RCD,GL84,0.8887452237735988
RCD,GL84,0.8512160892522379
RCD,GL84,0.9198256418547023
RCD,GL84,0.8974627773540194
RCD,GL84,0.8220199447125458
RCD,GL84,0.8886866239579727
RCD,GL84,0.885135290363749
RCD,GL84,0.8236211588874945
RCD,GL84,0.7321709247719926
RCD,GL84,0.8863136609898659
RCD,GL84,0.8731090192201701
RCD,GL84,0.8305887145944391
RCD,GL84,0.8371089032248132
RCD,GL84,0.8396611644173029
RCD,GL84,0.9171969970236182
QI,GL84,0.9213822065083643
QI,GL84,0.9158217940022876
QI,GL84,0.9074628375379912
QI,GL84,0.9408306174262646
QI,GL84,0.895669866933087
QI,GL84,0.8593526443501337
QI,GL84,0.8942328721079185
QI,GL84,0.8709490177972558
QI,GL84,0.9322935034363005
QI,GL84,0.9198674871218928
QI,GL84,0.9276673592453817
QI,GL84,0.9245294087349815
QI,GL84,0.9218719966084388
QI,GL84,0.8673043659352653
QI,GL84,0.9218303254694797
QI,GL84,0.849091635183875
QI,GL84,0.8718921996363834
QI,GL84,0.9035716592287609
QI,GL84,0.9415600593157499
QI,GL84,0.8885285356788245
QI,GL84,0.8742764298183984
QI,GL84,0.8409502809437516
QI,GL84,0.820298201773869
QI,GL84,0.8439896710451755
QI,GL84,0.9234632744321253
QI,GL84,0.9194595124592277
QI,GL84,0.9047363440881002
QI,GL84,0.8978710190280277
QI,GL84,0.8924340746173692
QI,GL84,0.9036602055364835
QI,GL84,0.9404103690760827
QI,GL84,0.8524347828700576
QI,GL84,0.912421587495948
QI,GL84,0.9119111152015367
QI,GL84,0.8974927692989906
QI,GL84,0.8936557574768168
QI,GL84,0.9198556110815238
QI,GL84,0.877598181750001
QI,GL84,0.9092631866637086
QI,GL84,0.9217053791879368
QI,GL84,0.9332663666797774
QI,GL84,0.9078121881199213
QI,GL84,0.9845976888469692
QI,GL84,0.9688392868796672
QI,GL84,0.8095029005140904
QI,GL84,0.8454976791655097
QI,GL84,0.8648577216884341
QI,GL84,0.8501146507486435
QI,GL84,0.8540664968140462
QI,GL84,0.9346287439428039
QI,GL84,0.9388847454520829
QI,GL84,0.948430325065865
QI,GL84,0.9076822265068287
QI,GL84,0.8615121602800603
QI,GL84,0.9086899345686158
QI,GL84,0.8958459985913036
QI,GL84,0.9137247650168961
QI,GL84,0.9084173789047175
QI,GL84,0.9138181347673157
QI,GL84,0.9619957417030759
QI,GL84,0.9427876570281981
QI,GL84,0.905339649827296
QI,GL84,0.96087115195045
QI,GL84,0.9739554392953786
QI,GL84,0.9559727883844975
QI,GL84,0.9199526638506889
QI,GL84,0.9417638067093353
QI,GL84,0.9079062882990654
QI,GL84,0.8729157908793161
QI,GL84,0.8985217292969753
QI,GL84,0.9015163260217133
QI,GL84,0.919413455966812
QI,GL84,0.9040943292755952
QI,GL84,0.9192364602600617
QI,GL84,0.9166320501551422
QI,GL84,0.9455676546289106
QI,GL84,0.7934403658169357
QI,GL84,0.6211705164715736
QI,GL84,0.6214867643467176
QI,GL84,0.7570952087506809
QI,GL84,0.9841051113434202
QI,GL84,0.951360498423294
QI,GL84,0.9416327714609426
QI,GL84,0.973006144683738
QI,GL84,0.8529014679721351
QI,GL84,0.8802936715633489
QI,GL84,0.873659343663774
QI,GL84,0.917679508914961
QI,GL84,0.938654816031648
QI,GL84,0.9135182340768856
QI,GL84,0.927608053315005
QI,GL84,0.905922284407724
QI,GL84,0.8758555882955958
QI,GL84,0.8651029455568482
QI,GL84,0.9222676721131817
QI,GL84,0.8983155690281436
QI,GL84,0.9384344672732826
QI,GL84,0.9711230063305095
QI,GL84,0.9078840045771879
QI,GL84,0.8724561453397907
QI,GL84,0.8761566126296918
QI,GL84,0.8796838804019359
QI,GL84,0.8757813398813482
QI,GL84,0.8227038106649333
QI,GL84,0.9079393274377678
QI,GL84,0.9567300957149043
QI,GL84,0.9477694798164935
QI,GL84,0.9687429603989762
QI,GL84,0.9386822575448164
QI,GL84,0.8915451573769724
QI,GL84,0.9204110022603824
QI,GL84,0.8973484089682326
QI,GL84,0.9124869348918386
QI,GL84,0.8668218499718134
QI,GL84,0.9204171436998393
QI,GL84,0.9389652400002946
QI,GL84,0.8260864658800326
QI,GL84,0.8700244229603047
QI,GL84,0.8349573652385006
QI,GL84,0.9090006466539777
QI,GL84,0.9269762430706674
QI,GL84,0.9044227091866496
QI,GL84,0.9243192411094406
QI,GL84,0.957718671002784
QI,GL84,0.8717487120664815
QI,GL84,0.7368502524346097
QI,GL84,0.8504901124795132
QI,GL84,0.8804956466211613
QI,GL84,0.9192936254136973
QI,GL84,0.8686515860988047
QI,GL84,0.9178033293603242
QI,GL84,0.886569605814466
QI,GL84,0.8940936453950434
QI,GL84,0.8576908658274124
QI,GL84,0.8928893772189052
QI,GL84,0.9855972463215895
QI,GL84,0.8951720816182948
QI,GL84,0.6427808209094995
QI,GL84,0.8761786860506035
QI,GL84,0.866001738656599
QI,GL84,0.8448411302153006
QI,GL84,0.896684462860312
QI,GL84,0.9036564059064299
QI,GL84,0.9041892385035671
