method,config,Jaccard
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RHT,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
RCD,GL70,0.0
