Method,Config,Time_s,FPS
Greco,Med3,0.004409,226.8
Greco,Med5,0.004488,222.8
Greco,Med7,0.004411,226.7
Greco,Med9,0.004478,223.3
Greco,Med11,0.004481,223.2
Greco,Med13,0.004409,226.8
Greco,Med15,0.004406,227.0
Greco,Med17,0.0043,232.6
Greco,Med19,0.004361,229.3
Qi,GL70,0.001948,513.3
Qi,GL72,0.001967,508.5
Qi,GL74,0.001862,536.9
Qi,GL76,0.001948,513.3
Qi,GL78,0.001752,570.9
Qi,GL80,0.001728,578.9
Qi,GL82,0.001726,579.4
Qi,GL84,0.001982,504.6
Qi,GL86,0.002063,484.8
Qi,Med3,0.00196,510.2
Qi,Med5,0.002497,400.5
Qi,Med7,0.001918,521.3
Qi,Med9,0.002067,483.7
Qi,Med11,0.001971,507.5
Qi,Med13,0.001659,602.7
Qi,Med15,0.002325,430.1
Qi,Med17,0.001819,549.7
Qi,Med19,0.001593,627.9
