Method,Noise_pct,Outlier_pct,q,J_mean,J_std,Time_s
3C-FBI,2,10,24,0.0,0.0,0.006191
3C-FBI,2,10,40,0.0,0.0,0.006146
3C-FBI,2,20,0,0.9872,0.0056,0.008712
3C-FBI,2,20,1,0.9804,0.0067,0.008733
3C-FBI,2,20,2,0.2003,0.0029,0.007581
3C-FBI,2,20,3,0.2485,0.1246,0.006629
3C-FBI,2,20,6,0.1457,0.1443,0.006176
3C-FBI,2,20,12,0.0214,0.0619,0.006064
3C-FBI,2,20,24,0.0,0.0,0.00615
3C-FBI,2,20,40,0.0,0.0,0.006172
3C-FBI,2,30,0,0.9876,0.0059,0.008616
3C-FBI,2,30,1,0.9807,0.0082,0.008662
3C-FBI,2,30,2,0.2,0.0031,0.007483
3C-FBI,2,30,3,0.2581,0.1332,0.00659
3C-FBI,2,30,6,0.1337,0.1617,0.00624
3C-FBI,2,30,12,0.0197,0.0533,0.006163
3C-FBI,2,30,24,0.0,0.0,0.006157
3C-FBI,2,30,40,0.0,0.0,0.006193
3C-FBI,2,40,0,0.9859,0.0057,0.008366
3C-FBI,2,40,1,0.9798,0.0074,0.008587
3C-FBI,2,40,2,0.2004,0.0028,0.007523
3C-FBI,2,40,3,0.2477,0.1156,0.006688
3C-FBI,2,40,6,0.1376,0.1259,0.006739
3C-FBI,2,40,12,0.0231,0.0602,0.006612
3C-FBI,2,40,24,0.0,0.0,0.006194
3C-FBI,2,40,40,0.0,0.0,0.006116
3C-FBI,2,50,0,0.9832,0.007,0.008485
3C-FBI,2,50,1,0.9772,0.0095,0.008685
3C-FBI,2,50,2,0.2,0.0033,0.007699
3C-FBI,2,50,3,0.2451,0.1219,0.007178
3C-FBI,2,50,6,0.1217,0.1155,0.006754
3C-FBI,2,50,12,0.0166,0.0613,0.006495
3C-FBI,2,50,24,0.0,0.0,0.006452
3C-FBI,2,50,40,0.0,0.0,0.006405
3C-FBI,2,60,0,0.977,0.0384,0.009086
3C-FBI,2,60,1,0.9535,0.077,0.008882
3C-FBI,2,60,2,0.2003,0.0084,0.007267
3C-FBI,2,60,3,0.2778,0.1259,0.006663
3C-FBI,2,60,6,0.1354,0.1295,0.00626
3C-FBI,2,60,12,0.0104,0.0359,0.006104
3C-FBI,2,60,24,0.0,0.0,0.006206
3C-FBI,2,60,40,0.0,0.0,0.006224
3C-FBI,2,70,0,0.8429,0.164,0.008844
3C-FBI,2,70,1,0.8092,0.1663,0.009132
3C-FBI,2,70,2,0.2175,0.0683,0.007082
3C-FBI,2,70,3,0.2719,0.124,0.006737
3C-FBI,2,70,6,0.1623,0.1366,0.006229
3C-FBI,2,70,12,0.0184,0.0593,0.006088
3C-FBI,2,70,24,0.0,0.0,0.006186
3C-FBI,2,70,40,0.0,0.0,0.006187
3C-FBI,5,0,0,0.9582,0.0178,0.00889
3C-FBI,5,0,1,0.9525,0.0228,0.008759
3C-FBI,5,0,2,0.201,0.0087,0.007625
3C-FBI,5,0,3,0.232,0.1237,0.006992
