case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
17,11156926_20200427_Feet_L_S_1,GL80,0.8930541540881444,0.0012619144765388492,0.0037523092166161787,0.8897896450696884,0.8935419542863046
18,11156926_20200427_Feet_L_S_2,GL80,0.9279064982141118,3.3306690738754696e-16,0.0,0.9279064982141114,0.9279064982141114
19,11156926_20200427_Feet_L_S_3,GL80,0.8826122602427279,1.1102230246251565e-16,0.0,0.882612260242728,0.882612260242728
20,11156926_20200427_Feet_R_S_0,GL80,0.9348799713186331,3.3306690738754696e-16,0.0,0.9348799713186328,0.9348799713186328
21,11156926_20200427_Feet_R_S_1,GL80,0.8767682840700953,0.00799932285319316,0.10133454362556116,0.8012084399699817,0.9025429835955429
22,11156926_20200427_Feet_R_S_2,GL80,0.8462910128835963,0.0,0.0,0.8462910128835963,0.8462910128835963
23,11156926_20200427_Feet_R_S_3,GL80,0.8416139809932062,2.220446049250313e-16,0.0,0.8416139809932064,0.8416139809932064
24,12405045_2020023_Feet_L_S_0,GL80,0.9127903567927649,4.440892098500626e-16,0.0,0.9127903567927644,0.9127903567927644
25,12405045_2020023_Feet_L_S_1,GL80,0.9153184720836625,1.1102230246251565e-16,0.0,0.9153184720836623,0.9153184720836623
26,12405045_2020023_Feet_L_S_2,GL80,0.9121439046570411,3.3306690738754696e-16,0.0,0.9121439046570408,0.9121439046570408
27,12405045_2020023_Feet_L_S_3,GL80,0.9004317504042301,2.220446049250313e-16,0.0,0.9004317504042303,0.9004317504042303
28,12405045_2020023_Feet_R_S_0,GL80,0.8911447327008506,0.0037741503029712713,0.019259880114271155,0.8903743374962797,0.9096342176105509
29,12405045_2020023_Feet_R_S_1,GL80,0.8949294017603598,0.0,0.0,0.8949294017603598,0.8949294017603598
30,12405045_2020023_Feet_R_S_2,GL80,0.9174266829355527,1.1102230246251565e-16,0.0,0.9174266829355529,0.9174266829355529
31,12405045_2020023_Feet_R_S_3,GL80,0.8583526611753232,0.019586828945611062,0.07154549468636684,0.8422162525819507,0.9137617472683175
32,14923392_20200622_Feet_L_S_0,GL80,0.9084430166936702,2.220446049250313e-16,0.0,0.9084430166936704,0.9084430166936704
33,14923392_20200622_Feet_L_S_1,GL80,0.9633958954718329,0.0018267862660639657,0.01835989277790462,0.9452196016217074,0.963579494399612
34,14923392_20200622_Feet_L_S_2,GL80,0.9122558821006967,0.0058296148719779416,0.025426923320107542,0.8931171199963496,0.9185440433164571
35,14923392_20200622_Feet_L_S_3,GL80,0.8943251766259688,1.1102230246251565e-16,0.0,0.8943251766259687,0.8943251766259687
36,14923392_20200622_Feet_R_S_0,GL80,0.8987635459318557,0.0,0.0,0.8987635459318557,0.8987635459318557
37,14923392_20200622_Feet_R_S_1,GL80,0.8530115241211006,0.0,0.0,0.8530115241211006,0.8530115241211006
38,14923392_20200622_Feet_R_S_2,GL80,0.9471975508629968,1.1102230246251565e-16,0.0,0.9471975508629967,0.9471975508629967
39,14923392_20200622_Feet_R_S_3,GL80,0.8889779439155698,2.220446049250313e-16,0.0,0.8889779439155701,0.8889779439155701
40,23839779_20200420_Feet_L_S_0,GL80,0.9199101133348616,1.1102230246251565e-16,0.0,0.9199101133348615,0.9199101133348615
