case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
498,12405045_2020023_Feet_L_S_3,Med9,0.756368228285752,0.015633851082086994,0.051913267369755545,0.7131440911580567,0.7650573585278122
499,12405045_2020023_Feet_L_S_3,Med11,0.7041395057753591,2.220446049250313e-16,0.0,0.7041395057753593,0.7041395057753593
500,12405045_2020023_Feet_L_S_3,Med13,0.651021952177408,0.0026464977635597946,0.008225726677926204,0.6450344356397876,0.6532601623177138
501,12405045_2020023_Feet_L_S_3,Med15,0.5997546904343212,2.220446049250313e-16,0.0,0.599754690434321,0.599754690434321
502,12405045_2020023_Feet_L_S_3,Med17,0.5144301956110771,0.003583728319727569,0.010328133315731347,0.5055480009595481,0.5158761342752795
503,12405045_2020023_Feet_L_S_3,Med19,0.44213864835715,0.0006004780644183037,0.004289129031559313,0.43793530190622176,0.4422244309377811
504,12405045_2020023_Feet_R_S_0,GL70,0.8638376533658416,0.017838639880392616,0.11109427942596528,0.7701850007190589,0.8812792801450242
505,12405045_2020023_Feet_R_S_0,GL72,0.8654639462216761,0.008000058026378666,0.022916700967022363,0.8601101047735262,0.8830268057405486
506,12405045_2020023_Feet_R_S_0,GL74,0.8761998859347259,0.007056196152914903,0.019074541836938907,0.872671084904778,0.8917456267417169
507,12405045_2020023_Feet_R_S_0,GL76,0.8757742863076746,0.007742071535087271,0.020572861222639016,0.8706717559842087,0.8912446172068477
508,12405045_2020023_Feet_R_S_0,GL78,0.8847154133705569,0.014283858986461548,0.09100730711131588,0.8147198353068702,0.9057271424181861
509,12405045_2020023_Feet_R_S_0,GL80,0.8990445300355777,0.021944505510813672,0.176404794204591,0.7542938575155341,0.9306986517201251
510,12405045_2020023_Feet_R_S_0,GL82,0.8909060130989197,0.03310181115658841,0.11759812183617468,0.8197532571190034,0.9373513789551781
511,12405045_2020023_Feet_R_S_0,GL84,0.8957602961010427,0.03604740284809107,0.12261761411735861,0.8191440566194494,0.941761670736808
512,12405045_2020023_Feet_R_S_0,GL86,0.8715140200562517,0.052696626045733545,0.21155848204535943,0.7075908362888197,0.9191493183341791
513,12405045_2020023_Feet_R_S_0,Med3,0.6965404108584198,0.003636207627367701,0.00991856946130254,0.6882088125109257,0.6981273819722282
514,12405045_2020023_Feet_R_S_0,Med5,0.7635201518396966,0.030574233016282523,0.07478203160705132,0.7083643860578864,0.7831464176649378
515,12405045_2020023_Feet_R_S_0,Med7,0.7987249300606856,0.002952999546433722,0.02112772242780292,0.7799519990840469,0.8010797215118498
516,12405045_2020023_Feet_R_S_0,Med9,0.8172446033728002,0.005667567545335866,0.040482625323827626,0.7775716305554489,0.8180542558792765
517,12405045_2020023_Feet_R_S_0,Med11,0.8339584643530111,0.03860849514217193,0.09062732700907183,0.7854589098292707,0.8760862368383425
518,12405045_2020023_Feet_R_S_0,Med13,0.860129501180421,0.0019065734461957606,0.011176531477489426,0.8597942052360963,0.8709707367135857
519,12405045_2020023_Feet_R_S_0,Med15,0.7887751319484244,0.01985613466883345,0.055166296571146245,0.774826600443956,0.8299928970151023
520,12405045_2020023_Feet_R_S_0,Med17,0.7148420649851839,0.0013368593726448184,0.00523956498210143,0.7144752954364365,0.7197148604185379
521,12405045_2020023_Feet_R_S_0,Med19,0.6383161585989249,0.0,0.0,0.6383161585989249,0.6383161585989249
522,12405045_2020023_Feet_R_S_1,GL70,0.8737642370105766,1.1102230246251565e-16,0.0,0.8737642370105767,0.8737642370105767
523,12405045_2020023_Feet_R_S_1,GL72,0.8817621035559817,2.220446049250313e-16,0.0,0.8817621035559815,0.8817621035559815
524,12405045_2020023_Feet_R_S_1,GL74,0.8882914884781451,0.0009388268877480868,0.009435565241689425,0.8881971328257284,0.8976326980674179
525,12405045_2020023_Feet_R_S_1,GL76,0.8904424407564038,2.220446049250313e-16,0.0,0.8904424407564036,0.8904424407564036
526,12405045_2020023_Feet_R_S_1,GL78,0.8900437614169049,0.0,0.0,0.8900437614169049,0.8900437614169049
527,12405045_2020023_Feet_R_S_1,GL80,0.8949294017603598,0.0,0.0,0.8949294017603598,0.8949294017603598
528,12405045_2020023_Feet_R_S_1,GL82,0.8950213839724159,0.001562800262406943,0.015706733614159973,0.8948643166362744,0.9105710502504344
529,12405045_2020023_Feet_R_S_1,GL84,0.8951076153175234,1.1102230246251565e-16,0.0,0.8951076153175233,0.8951076153175233
530,12405045_2020023_Feet_R_S_1,GL86,0.8907700769889856,3.3306690738754696e-16,0.0,0.8907700769889852,0.8907700769889852
531,12405045_2020023_Feet_R_S_1,Med3,0.6890246064979192,0.01153336781215663,0.10046357540427864,0.6300892656529035,0.7305528410571821
532,12405045_2020023_Feet_R_S_1,Med5,0.7326457606827417,0.01688308317313955,0.11144173778281208,0.7022145274973216,0.8136562652801337
533,12405045_2020023_Feet_R_S_1,Med7,0.7982664236900926,0.09852218982634522,0.3024444733818481,0.616594475540433,0.9190389489222811
534,12405045_2020023_Feet_R_S_1,Med9,0.8745863670622436,0.06306524249440011,0.27599008467814967,0.6250818089089766,0.9010718935871262
535,12405045_2020023_Feet_R_S_1,Med11,0.8710414560397386,0.03816928663615297,0.17730376284989557,0.7049134790239202,0.8822172418738158
536,12405045_2020023_Feet_R_S_1,Med13,0.7739294250919975,0.000754023310899883,0.004420162929389737,0.7737968202041159,0.7782169831335056
537,12405045_2020023_Feet_R_S_1,Med15,0.7268402738233124,0.019605388956999367,0.16588979219379552,0.6787399846656478,0.8446297768594433
538,12405045_2020023_Feet_R_S_1,Med17,0.6267000683281089,0.009584884710306754,0.10257100399491192,0.6182840918818108,0.7208550958767227
539,12405045_2020023_Feet_R_S_1,Med19,0.562048002164372,0.019996161047371157,0.046820301807675935,0.5264645727905382,0.5732848745982141
540,12405045_2020023_Feet_R_S_2,GL70,0.8997669266260904,0.03175879800010067,0.0739376269682992,0.8657144938707672,0.9396521208390664
541,12405045_2020023_Feet_R_S_2,GL72,0.9177134312590728,0.02258770819791022,0.057047710728696854,0.882339734174582,0.9393874449032789
542,12405045_2020023_Feet_R_S_2,GL74,0.9245999648002234,0.011507874171612547,0.05661578170610215,0.8863434974198356,0.9429592791259378
543,12405045_2020023_Feet_R_S_2,GL76,0.911414395986632,0.019897838896310197,0.12014621384960944,0.8228910383823468,0.9430372522319562
